(5, 7, 11)
(7, 11, 13)
(11, 13, 17)
(13, 17, 19)
(17, 19, 23)
(37, 41, 43)
(41, 43, 47)
(67, 71, 73)
(97, 101, 103)
(101, 103, 107)
(103, 107, 109)
(107, 109, 113)
(191, 193, 197)
(193, 197, 199)
(223, 227, 229)
(227, 229, 233)
(277, 281, 283)
(307, 311, 313)
(311, 313, 317)
(347, 349, 353)
(457, 461, 463)
(461, 463, 467)
(613, 617, 619)
(641, 643, 647)
(821, 823, 827)
(823, 827, 829)
(853, 857, 859)
(857, 859, 863)
(877, 881, 883)
(881, 883, 887)
(1087, 1091, 1093)
(1091, 1093, 1097)
(1277, 1279, 1283)
(1297, 1301, 1303)
(1301, 1303, 1307)
(1423, 1427, 1429)
(1427, 1429, 1433)
(1447, 1451, 1453)
(1481, 1483, 1487)
(1483, 1487, 1489)
(1487, 1489, 1493)
(1607, 1609, 1613)
(1663, 1667, 1669)
(1693, 1697, 1699)
(1783, 1787, 1789)
(1867, 1871, 1873)
(1871, 1873, 1877)
(1873, 1877, 1879)
(1993, 1997, 1999)
(1997, 1999, 2003)
(2081, 2083, 2087)
(2083, 2087, 2089)
(2137, 2141, 2143)
(2237, 2239, 2243)
(2267, 2269, 2273)
(2377, 2381, 2383)
(2657, 2659, 2663)
(2683, 2687, 2689)
(2687, 2689, 2693)
(2707, 2711, 2713)
(2797, 2801, 2803)
(3163, 3167, 3169)
(3251, 3253, 3257)
(3253, 3257, 3259)
(3457, 3461, 3463)
(3461, 3463, 3467)
(3463, 3467, 3469)
(3527, 3529, 3533)
(3671, 3673, 3677)
(3847, 3851, 3853)
(3917, 3919, 3923)
(4001, 4003, 4007)
(4127, 4129, 4133)
(4153, 4157, 4159)
(4513, 4517, 4519)
(4517, 4519, 4523)
(4637, 4639, 4643)
(4783, 4787, 4789)
(4787, 4789, 4793)
(4931, 4933, 4937)
(4967, 4969, 4973)
(5227, 5231, 5233)
(5231, 5233, 5237)
(5413, 5417, 5419)
(5437, 5441, 5443)
(5477, 5479, 5483)
(5501, 5503, 5507)
(5647, 5651, 5653)
(5651, 5653, 5657)
(5653, 5657, 5659)
(5737, 5741, 5743)
(6197, 6199, 6203)
(6547, 6551, 6553)
(6823, 6827, 6829)
(6827, 6829, 6833)
(7207, 7211, 7213)
(7753, 7757, 7759)
(7873, 7877, 7879)
(7877, 7879, 7883)
(8087, 8089, 8093)
(8231, 8233, 8237)
(8287, 8291, 8293)
(8291, 8293, 8297)
(8537, 8539, 8543)
(8623, 8627, 8629)
(8861, 8863, 8867)
(9007, 9011, 9013)
(9277, 9281, 9283)
(9337, 9341, 9343)
(9431, 9433, 9437)
(9433, 9437, 9439)
(9461, 9463, 9467)
(10267, 10271, 10273)
(10331, 10333, 10337)
(10427, 10429, 10433)
(10453, 10457, 10459)
(10457, 10459, 10463)
(11113, 11117, 11119)
(11171, 11173, 11177)
(11777, 11779, 11783)
(11827, 11831, 11833)
(12037, 12041, 12043)
(12107, 12109, 12113)
(12157, 12161, 12163)
(12373, 12377, 12379)
(12917, 12919, 12923)
(13001, 13003, 13007)
(13003, 13007, 13009)
(13687, 13691, 13693)
(13691, 13693, 13697)
(13757, 13759, 13763)
(13873, 13877, 13879)
(13877, 13879, 13883)
(13901, 13903, 13907)
(14081, 14083, 14087)
(14321, 14323, 14327)
(14557, 14561, 14563)
(14627, 14629, 14633)
(15641, 15643, 15647)
(15643, 15647, 15649)
(15727, 15731, 15733)
(15731, 15733, 15737)
(15733, 15737, 15739)
(16057, 16061, 16063)
(16061, 16063, 16067)
(16063, 16067, 16069)
(16067, 16069, 16073)
(16183, 16187, 16189)
(16187, 16189, 16193)
(16447, 16451, 16453)
(17027, 17029, 17033)
(17203, 17207, 17209)
(17383, 17387, 17389)
(17387, 17389, 17393)
(18041, 18043, 18047)
(18043, 18047, 18049)
(18127, 18131, 18133)
(18251, 18253, 18257)
(18307, 18311, 18313)
(18517, 18521, 18523)
(18911, 18913, 18917)
(18913, 18917, 18919)
(19207, 19211, 19213)
(19417, 19421, 19423)
(19421, 19423, 19427)
(19423, 19427, 19429)
(19427, 19429, 19433)
(19991, 19993, 19997)
(20143, 20147, 20149)
(20353, 20357, 20359)
(20477, 20479, 20483)
(20743, 20747, 20749)
(20747, 20749, 20753)
(20897, 20899, 20903)
(21011, 21013, 21017)
(21013, 21017, 21019)
(21017, 21019, 21023)
(21187, 21191, 21193)
(21313, 21317, 21319)
(21317, 21319, 21323)
(21377, 21379, 21383)
(21487, 21491, 21493)
(21517, 21521, 21523)
(21557, 21559, 21563)
(21611, 21613, 21617)
(22153, 22157, 22159)
(22271, 22273, 22277)
(22273, 22277, 22279)
(22277, 22279, 22283)
(22567, 22571, 22573)
(22637, 22639, 22643)
(23053, 23057, 23059)
(23057, 23059, 23063)
(23197, 23201, 23203)
(23291, 23293, 23297)
(23557, 23561, 23563)
(23561, 23563, 23567)
(23623, 23627, 23629)
(23627, 23629, 23633)
(23741, 23743, 23747)
(23827, 23831, 23833)
(24103, 24107, 24109)
(24107, 24109, 24113)
(24917, 24919, 24923)
(25031, 25033, 25037)
(25301, 25303, 25307)
(25303, 25307, 25309)
(25577, 25579, 25583)
(25997, 25999, 26003)
(26107, 26111, 26113)
(26261, 26263, 26267)
(26681, 26683, 26687)
(26711, 26713, 26717)
(26947, 26951, 26953)
(27103, 27107, 27109)
(27277, 27281, 27283)
(27733, 27737, 27739)
(27737, 27739, 27743)
(27941, 27943, 27947)
(28277, 28279, 28283)
(28657, 28661, 28663)
(29017, 29021, 29023)
(29021, 29023, 29027)
(29383, 29387, 29389)
(29567, 29569, 29573)
(30133, 30137, 30139)
(30491, 30493, 30497)
(30553, 30557, 30559)
(31147, 31151, 31153)
(31177, 31181, 31183)
(31247, 31249, 31253)
(31387, 31391, 31393)
(31391, 31393, 31397)
(31511, 31513, 31517)
(31541, 31543, 31547)
(31721, 31723, 31727)
(31723, 31727, 31729)
(32057, 32059, 32063)
(32297, 32299, 32303)
(32321, 32323, 32327)
(32531, 32533, 32537)
(32713, 32717, 32719)
(32797, 32801, 32803)
(33343, 33347, 33349)
(33347, 33349, 33353)
(33613, 33617, 33619)
(33617, 33619, 33623)
(33767, 33769, 33773)
(34123, 34127, 34129)
(34211, 34213, 34217)
(34297, 34301, 34303)
(34757, 34759, 34763)
(34841, 34843, 34847)
(34843, 34847, 34849)
(35527, 35531, 35533)
(35531, 35533, 35537)
(35591, 35593, 35597)
(35797, 35801, 35803)
(36007, 36011, 36013)
(36011, 36013, 36017)
(36467, 36469, 36473)
(36523, 36527, 36529)
(36787, 36791, 36793)
(37307, 37309, 37313)
(37357, 37361, 37363)
(37567, 37571, 37573)
(37987, 37991, 37993)
(37991, 37993, 37997)
(38327, 38329, 38333)
(38447, 38449, 38453)
(38707, 38711, 38713)
(38917, 38921, 38923)
(39041, 39043, 39047)
(39157, 39161, 39163)
(39227, 39229, 39233)
(39367, 39371, 39373)
(40123, 40127, 40129)
(40423, 40427, 40429)
(40427, 40429, 40433)
(40693, 40697, 40699)
(40847, 40849, 40853)
(41177, 41179, 41183)
(41227, 41231, 41233)
(41953, 41957, 41959)
(42013, 42017, 42019)
(42017, 42019, 42023)
(42221, 42223, 42227)
(42403, 42407, 42409)
(42457, 42461, 42463)
(42461, 42463, 42467)
(42697, 42701, 42703)
(43397, 43399, 43403)
(43573, 43577, 43579)
(43607, 43609, 43613)
(43777, 43781, 43783)
(43781, 43783, 43787)
(43783, 43787, 43789)
(43787, 43789, 43793)
(44201, 44203, 44207)
(44263, 44267, 44269)
(44267, 44269, 44273)
(44531, 44533, 44537)
(44617, 44621, 44623)
(44771, 44773, 44777)
(45337, 45341, 45343)
(45817, 45821, 45823)
(45821, 45823, 45827)
(46181, 46183, 46187)
(47143, 47147, 47149)
(47653, 47657, 47659)
(47711, 47713, 47717)
(47737, 47741, 47743)
(48407, 48409, 48413)
(48673, 48677, 48679)
(48817, 48821, 48823)
(49031, 49033, 49037)
(49117, 49121, 49123)
(49363, 49367, 49369)
(49663, 49667, 49669)
(49783, 49787, 49789)
(49937, 49939, 49943)
(50047, 50051, 50053)
(50587, 50591, 50593)
(51131, 51133, 51137)
(51193, 51197, 51199)
(51197, 51199, 51203)
(51341, 51343, 51347)
(51343, 51347, 51349)
(51971, 51973, 51977)
(52177, 52181, 52183)
(53087, 53089, 53093)
(53591, 53593, 53597)
(54493, 54497, 54499)
(54497, 54499, 54503)
(54577, 54581, 54583)
(55213, 55217, 55219)
(55331, 55333, 55337)
(55333, 55337, 55339)
(55337, 55339, 55343)
(55661, 55663, 55667)
(55813, 55817, 55819)
(55817, 55819, 55823)
(55897, 55901, 55903)
(55927, 55931, 55933)
(56263, 56267, 56269)
(56473, 56477, 56479)
(56527, 56531, 56533)
(56807, 56809, 56813)
(56891, 56893, 56897)
(57787, 57791, 57793)
(58147, 58151, 58153)
(58363, 58367, 58369)
(58907, 58909, 58913)
(59441, 59443, 59447)
(59467, 59471, 59473)
(60101, 60103, 60107)
(60757, 60761, 60763)
(60913, 60917, 60919)
(60917, 60919, 60923)
(62137, 62141, 62143)
(62297, 62299, 62303)
(62981, 62983, 62987)
(62983, 62987, 62989)
(63311, 63313, 63317)
(64151, 64153, 64157)
(64661, 64663, 64667)
(65027, 65029, 65033)
(65167, 65171, 65173)
(65537, 65539, 65543)
(65713, 65717, 65719)
(65837, 65839, 65843)
(66103, 66107, 66109)
(66943, 66947, 66949)
(67211, 67213, 67217)
(67213, 67217, 67219)
(67427, 67429, 67433)
(67757, 67759, 67763)
(67927, 67931, 67933)
(68207, 68209, 68213)
(68443, 68447, 68449)
(68897, 68899, 68903)
(69191, 69193, 69197)
(69257, 69259, 69263)
(69491, 69493, 69497)
(69493, 69497, 69499)
(69761, 69763, 69767)
(69827, 69829, 69833)
(69997, 70001, 70003)
(70117, 70121, 70123)
(70177, 70181, 70183)
(71257, 71261, 71263)
(71327, 71329, 71333)
(71707, 71711, 71713)
(72167, 72169, 72173)
(72221, 72223, 72227)
(72223, 72227, 72229)
(72643, 72647, 72649)
(73037, 73039, 73043)
(73607, 73609, 73613)
(74197, 74201, 74203)
(74377, 74381, 74383)
(74713, 74717, 74719)
(75011, 75013, 75017)
(75401, 75403, 75407)
(75703, 75707, 75709)
(75997, 76001, 76003)
(76157, 76159, 76163)
(76537, 76541, 76543)
(77237, 77239, 77243)
(77261, 77263, 77267)
(77263, 77267, 77269)
(78887, 78889, 78893)
(79147, 79151, 79153)
(79393, 79397, 79399)
(79627, 79631, 79633)
(79687, 79691, 79693)
(79691, 79693, 79697)
(79693, 79697, 79699)
(79811, 79813, 79817)
(79841, 79843, 79847)
(79901, 79903, 79907)
(80147, 80149, 80153)
(80677, 80681, 80683)
(80681, 80683, 80687)
(80777, 80779, 80783)
(81013, 81017, 81019)
(81017, 81019, 81023)
(81041, 81043, 81047)
(81043, 81047, 81049)
(81197, 81199, 81203)
(81547, 81551, 81553)
(81701, 81703, 81707)
(81967, 81971, 81973)
(82003, 82007, 82009)
(82007, 82009, 82013)
(82217, 82219, 82223)
(82721, 82723, 82727)
(82723, 82727, 82729)
(82757, 82759, 82763)
(83227, 83231, 83233)
(83267, 83269, 83273)
(83557, 83561, 83563)
(84313, 84317, 84319)
(85087, 85091, 85093)
(85447, 85451, 85453)
(86111, 86113, 86117)
(86287, 86291, 86293)
(86291, 86293, 86297)
(86351, 86353, 86357)
(86923, 86927, 86929)
(87251, 87253, 87257)
(87553, 87557, 87559)
(87583, 87587, 87589)
(88001, 88003, 88007)
(88657, 88661, 88663)
(88661, 88663, 88667)
(88807, 88811, 88813)
(88811, 88813, 88817)
(88813, 88817, 88819)
(89561, 89563, 89567)
(89597, 89599, 89603)
(89653, 89657, 89659)
(90017, 90019, 90023)
(90067, 90071, 90073)
(90197, 90199, 90203)
(90397, 90401, 90403)
(90401, 90403, 90407)
(90523, 90527, 90529)
(90527, 90529, 90533)
(91367, 91369, 91373)
(91453, 91457, 91459)
(91457, 91459, 91463)
(91571, 91573, 91577)
(91807, 91811, 91813)
(92173, 92177, 92179)
(92377, 92381, 92383)
(92381, 92383, 92387)
(92857, 92861, 92863)
(92861, 92863, 92867)
